Sentiment,Text Tweet
negative,"Saya sedih melihat dan mendengar hal ini dimana harta bisa membutakan ketulusan sebuah hati dalam menolong. Walaupun saya Agama Katolik dan berpegangan pada kesederhanaan dalam Gereja tapi saya prihatin dengan seperti ini, terutama untuk agama Islam dan para Imam Muslim lainnya semoga kalian kuat dan tabah sehingga tidak terjadi hal yang seperti ini lagi karna harta dan kekayaan dibumi ini tak akan ada habisnya. Salam toleransi dari saya"
negative,Jangan pernah salahkan agamanya tapi orangnya 🇮🇩🇮🇩🇮🇩
negative,"Kejadian ini membuktikan tidak ada manusia yang tidak berdosa kecuali bayi, setiap orang dewasa pasti pernah melakuian dosa."
negative,Saya juga Kristen tp saya percaya tdk semua ustad seperti Ustad YM masih banyak yg tulus melayani Umat ....amin amin
positive,"Subhanallah…sedekah itu sdh ada tuntunan dari Rasulullah Salallahu ‘Alayhi Wassalam,jangan salah berguru dlm mencari ilmu,jangan salahkan islam tapi salahkan orangnya"
positive,"Semoga saudara"" kami yg jadi korban diberkati Tuhan dan di berikan rezeki yg lebih banyak lagi...
semoga oknum"" yg menipu sesama dengan membalut agama pada tobat
dan kita juga di berikan wawasan yg luas lagi biar tidak terjebak hal"" seperti ini"
positive,"Orang beradap sudah pasti berilmu, orang berilmu belum tentu beradap 😎 jgn liat ilmu dari mulut siapanya liat ilmu dari siapa saja yg dpt merubah jiwamu menjadi lebih dekat dengan pencipta. Jgn sampai nurani qt tersesat sudah bingung mana yang baik dan mana yg keliru"
negative,"Agama tidak mengajarkan keburukan, tapi orangnya yg lupa akan kebenaran, terimakasih🙏"
positive,"astaghfirullah, kesempurnaan itu hanya milik allah. bersyukurlah jika allah masih menutup aib kita, karena pada dasarnya kita semua adalah manusia yang berlumuran dosa🙏"
negative,"Percuma kondang dan punya banyak usaha tapi masih terlibat masalah, itu sama aja menggali kuburan sendiri. Kalau benar sekaya itu masa masih terlibat masalah dengan hanya 12 orang investor. Belum lagi jadi milioder tapi udh ada yg tertipu, tapi bagus juga sih guys, dia nipunya ga tanggung² genks, jadi kalaupun dia tangkap polisi setidaknya dia sudah persiapan, boleh juga tuh wkwkkwkwk"
negative,Itulah pentingnya kita tanamkan dalam diri.. kalau mau sedekah niatnya mmg mengharap ridho Allah..dan balasan di akhirat.. bukan niat sedekah dan sholawatan biar dpt rezeki lebih dari apa yg sdh disedekahkan.. caranya baik sedekah tapi niatnya hanya untuk duniawi itu yg salah..wallahu'alam... ini mengajarkan kita sebagai orang islam yg masih fakir ilmu harus pinter2 milih ustadz/ulama untuk diambil ilmunya...semoga kita semua yg masih fakir ilmu agama islam selalu dalam Lindungan Allah...Aamiin
positive,"Semoga kebenaran bisa segera diungkap.. ,dan semua yg pernah merasa jadi korban bisa digantikan rejekinya dari jalan lain..amiin"
positive,"Semoga ustadz di beri Allah kemudahan segalanya, serta d beri jalan keluar terbaik oleh Allah"
positive,saya Kristen .. saya mengenal banyak ustad yang memiliki hati membangun umatnya .. ini hanya masalah pribadi .. tetap semangat saudara²ku umat muslim sekalian 🙏
positive,Biarlah Allah yang akan menilai niat kita
positive,"Ingat ya manteman ""JANGAN SALAHKAN AGAMANYA TAPI SALAH KAN ORANG NYA"" semoga beliau diketuk pintu hati nya agar tidak berbuat seperti itu lagi🙏"
negative,"Yusuf Mansur bukan ustad, tapi penipu dengan ayat suci!!
Walaupun saya bukan Muslim tapi saya pribadi banyak bertemu dengan Ustad yang baik, ramah dan membawa kesejukan dan saya melihat mereka hidup dalam kesederhanaan dan ketaatan beribadah bukan hidup glamor. Saya respect dan cinta sama teman"" Muslim ❤️❤️. Semoga korban Yusuf Mansur diberikan rezeki lebih, dan Yusuf Mansur mendapatkan teguran Tuhan YME. Terus terang di Gereja pun banyak Pendeta yang memandang jemaah sebagai sumber penghasilan, makanya jamaah ataupun jemaat harus cerdas berpikir logis juga 🙏🙏"
positive,"Salam toleransi... Saya NON MUSLIM, saya yakin msih bnyak ustad yg benar2 tulus pada NKRI. 👍👍👍👍👍👍👍👍👍👍"
negative,"Seseorang yang cerdas , tinggi tingkat pemahaman agamanya saja bisa tergoda sama kemewahan yang ditawarkan duniawi sehingga menggelapkan mata beliau, apalagi kita yang masih awam dengan pemahaman agama yang mendalam, semgoa kita selalu berada di jalan Allah SWT , Aamiin"
positive,"Kilauan Duniawi bisa menggelapkan  mata siapa saja.. tidak peduli apakah dia Pemuka agama atau orang Awam
Semoga kita semua dijauhkan dari segala kejahatan."
positive,"Di kampungku Masih Banyak Kiyai yG hidupnya sangat sederhana & tulus.
Mengajari jama'ah tentang Islam & tanpa pamrih. . ."
negative,"Dari sini saya belajar mendingan memberi ke orang yang membutuhkan secara langsung, dari pada harus melewati perantara. Karena sebagian manusia tidak bisa dipercaya, baik dimuka busuk dihati🙏"
negative,"Ciri2 akhir zaman, padahal udah tau kalau berbuat keburukan akan mendapat dosa, tapi keburukan itu malah dilakukan. Seandainya kita pakai hukum syar'i maka tangannya bakal di potong.

Semoga beliau bertobat pada Allah"
positive,"Umat Islam harus cerdas, harus bisa membedakan yang mana sedekah yang mana investasi. Jangan dicampur aduk. Kalau sedekah ya itu bagian dari ibadah. harus ikhlas gak ada paksaan, jangan berharaf akan kembali lagi. Itu mah Allah yang punya kuasa."
positive,Semoga kali ini KEADILAN benar ditegakan 👍🏼🇮🇩
positive,Semoga kita semua menjadi orang yg selalu bersyukur dengan rizqi yg Allah SWT berikan.dan bisa menjaga iman kita dari segala godaan setan yg terkutuk.
negative,Bergelimpangan harta diatas penderitaan umat....masya allah...
positive,"Almarhum guru ngaji saya, panggilanny ""babeh"", dlu ngajar ngaji gratis ke anak2 sekitar mesjid, babeh ini penyabar dan suaranya lembut, istrinya berjualan nasi uduk depan rumahnya, anak2nya rajin ke masjid subuh, yg satu anaknya udh jd penghafal quran, istrinya juga adem sekali kalau dilihat, sederhana dan pemberi, saya ingat waktu beli nasi uduk di tempat istri babeh, sering ditambahin bihun yg buanyaaak bgt karna dia tau saya suka bihunnya hihi, saya percaya bgt sm pemuka agama yg ga terlalu duniawi, sederhana, namun bermanfaat bagi sesama. Krna dia tau dunia ini sementara. Alfatihah untuk alm. Babeh ❤️🙏🏻"
positive,Semoga kita semua selalu dijalan yg benar. Aamiin
positive,"Saya seorang muslim, tapi saya senang jika ada seseorang yg salah tetapi tetap dihukum apapun agamanya. Krn semua agama mengajarkan kebaikan 🙏."
positive,"Sekuat kuat nya iman, iblis bisa saja menggoda manusia dengan segala cara walaupun orang itu paham agama, hanya Rasulullah SAW. Manusia terbaik di muka bumi. jujur bijaksana baik rendah hati tidak pernah marah atau benci."
positive,"Allah tunjukkan pada kita dari kalangan hamba Nya, jangan terlena dengan harta"
positive,"ustad/kyai/habaib lembut belum tentu ia baik dan ustad/kyai/habaib yang keras belum tentu ia jahat. karna hanya allah pemilik hati seseorang.
terimakasih pak ustad, berkat kejadian ini kita jadi tau siapa dirimu. semoga allah membimbingmu kembali ke jalannya :) ameen !!"
positive,Allah lah zat yg maha sempurna
positive,"Sebelum bersedekah pada org lain, bantulah sodaramu, tetanggamu, temanmu yg jelas terlihat sedang kesusahan dan butuh bantuan 😌"
positive,indahnya berbagi pendapat sesama umat manusia 👍👍
negative,Semoga laknat Allah menimpa siapa saja yg mengambil keuntungan dengan berkedok Agama
positive,"Yang sabar semua saudara2.. Jadikan pelajaran bagi kita semua.. semoga segera ada jalan keluar bagi yang dirugikan.. 🙏🙏

Tidak ada agama yang mengajarkan menipu sesama , cuman selama masih manusia memang tak lain masih tempatnya salah.. 🙏🙏"
positive,"Semua yg ada hanyalah titipan, semakin besar titipan yg di beri semakin besar tanggung jawabnya. tinggal tergantung kita yg menjalankannya bagaimana.. semoga kita terlindungi dan di jauhi dari sifat"" buruk.. aamiin"
positive,"Astaghfirullah, semoga para kaum muslimin tetap bersabar..ini untuk semua jngan salahkan agama nya tapi cara orang yg mnjalan kan nya Yg salah"
positive,"Thanks buat saudara n teman yg beragama non muslim krna udh dukung kami yg muslim dalam konteks malah ini, betul, bukan salah agamanya tp salah orgnya, saya selalu mendukung penegakan hukum bagi ustadz2 yg tidak jujur apalagi sampai melawan hukum.. Semoga diberikan hukuman yg tepat dan diberikan kesabaran bagi keluarganya.."
positive,Hati Hati Di akhir zaman banyak orang yang tidak baik berkedok jadi orang baik..Semoga kita di jauhkan dari orang orang yg berkedok baik ternyata hatinya tidak baik
positive,"Kemewahan dunia bukan lah AHKLAK baginda NABI MUHAMMAD SAW,moga ms banyak di Indonesia ulama"" yg istiqomah dlm ber'dakwah 🤲🤲🇮🇩🇮🇩🇮🇩"
positive,"Saya orang kristen,agama tidak bisa kita salahkan yg kita harus lihat orangnya dan dari sudut pandang  yg perlu  kita lihat,kita  harus juga belajar dari pengalaman yg terjadi saat ini,supaya kita harus lebih hati hati saja"
positive,"Meskipun saya beragama Katolik, saya merasa prihatin dengan orang-orang yang menjual agama Islam demi keuntungan pribadi/golongan. Yang dalam video ini hanyalah oknum yang tidak baik, bukan agama yang tidak baik. Tetap semangat untuk saudara-saudaraku yang beragama Islam. Saya yakin masih banyak ustad, kyai, ulama, dan umat Islam yang baik, yang tidak terjebak untuk menjual agama demi keuntungan pribadi. Salam damai dan toleransi selalu."
positive,Percayalah Allah SWT tidak akan membiarkan kejahatan. Cepat atau lambat akan diperlihatkan Allah SWT.
positive,"Negara kita negara hukum terapkanlah azas praduga tak bersalah, biarlah hakim yang memutus apakah UYM bersalah atau tidak, semoga ada hikmahnya, Aminn"
positive,"ISLAM harus kaya harta dan kaya hati, kaya akhiratnya  aminn🙏🙏"
positive,"Aku bangga baca komenanya,
Yg non muslim.justru memberi semangat pada kaum muslim,
Tidak ada anarkis atau menyalah2kan agama,allah maha besarr🙏🙏🙏🙏."
positive,Sesungguhnya yg berlebihan dan mewah bukan panutan muslim ..hanya cukup dan sederhana yg jd panutan agama islam tdk pernah salah dlm menuntun ummatnya...😭😭😭
positive,"Pelajaran untuk semuanya,jika bersedekah jangan lewat orang lain,cukup dengan diri sendiri."
positive,"Son unos de los mejores conciertos ❤️🖤  LIKEEX.Uno 😘
los  mortales abian apreciado tan hermosa mujer  ."
positive,Terima kasih untuk dukungan dan kata² bijak dari saudara/i ku yang non muslim. Masyarakat semakin lama semakin pintar mana yg harus diikuti mana yg tidak. Semoga kasus spt ini tdk terjadi lagi. Termasuk di agama lain 🙏
negative,"Tangakap terus si mansyur,,, berkedok sedekah bawa2 nama agama islam,,  memalukan tangkap penjarakan seumur hidup,  sita harta nya dan miskin kan harta nya"
negative,"Jangan salahkan agama. jangan salahkan identitas, tapi nilailah keburukan dan kebusukan hatinya 🙏🙏🙏"
negative,"Disini saya prihatin. Dan saya sangat bersyukur, yang non muslim melihat ini dari segi positif dan tidak ada hujatan... Semoga begitu juga bagi umat muslim..saling menghargai dan support"
negative,"Proses Pelakunya Sesuai HUKUM Yang Ada, Kita Boleh Salahkan Pelakunya, Tapi Kita Tidak Boleh Kaitkan Dengan AGAMA"
positive,"Semoga ust Mansur menyelesaikan masalahnya dengan baik, dan para korban investasi juga menerima kembali haknya."
positive,Semoga yg terbaik tercapai pada kedua belah pihak...kekayaan dan kemewahan itu memang salah satu tanda cinta dunia.
positive,"Iya karena setiap manusia siapapun itu akan tetap ada ujian keimanan. Tidak  terkecuali siapapun selagi manusia  mereka smua  masih bisa kena godaan. Sabar dan tetap berusaha untuk melakukan yang terbaik di mata Alloh swt.. Ingat Alloh tidak tidur, kalaupun kita bisa berbohong dihadapan manusia, Alloh maha tahu. kelak akan ada pertanggungan jawabnya."
positive,"Aku non muslim tapi aku yakin banyak kok ustadz yg jujur dan benar2 beragama bukan ""menjual agama"""
positive,Sungguh allah itu maha melihat dan maha tahu...allah menunjukkan yg benar itu yg salah itu...
positive,"Kita semua butuh harta benda , tapi terlalu cinta harta yang berlebihan membuat kita hina, karena mata kalau sudah tertutup harta, bisa jadi buta,akhirnya langkah kita menuju badai kesengsaraan yang nyata,semoga kita mendapat rizqi yang barokah..."
positive,Semoga kita semua selalu diberi rizki yang halal dan jalan yang lurus
positive,"Jangan menilai seseorang dari penampilan nya, tetap semua sama dimata tuhan"
positive,Untuk apa lagi mengambil sesuatu yang bukan hak kita. Kan sudah “ada kami”.
positive,"Semoga permasalahannya cepat terselesaikan, yang merasa korban tetap bersabar dan bisa mendapatkan haknya kembali, dan yang merasa tertuntut atau mempunyai kewajiban segera melunasi kewajibannya agar semuanya berakhir dengan kedamaian 🙏"
positive,Jika proses usahanya baik dan tidak merugikan orang lain akan menikmati kebaikan pada akhirnya tanpa bermasalah
positive,"Bersabarlah saudaraku sebangsa, walau kita beda agama.. Tp ingat jgn salahkan agamanya, salahkanlah orgnya secara individu.. Krna agama sesungguhnya sll mengajarkan hal2 yg BAIK dan KEJUJURAN.. 

SALAM SAYANG DAN TOLERANSI ❤"
positive,"Buat umat muslim bersabarlah, walau saya hindu tapi saya percaya, masih banyak ust yang jujur, yang baik hati dan lurus, saya do'akan kerugian kalian akan di ganti oleh Tuhan, untuk kedepannya cobalah untuk berfikir 2x agar tidak langsung memutuskan dengan mudah."
positive,Ingett!! Jangan pernah salahkan agama nya tapi salahkan sifat orang nya . Semua agama mengajarkan yang baik 🙏🏻
negative,"Semoga tidak ada lagi ustad sesat seperti si ucup untuk yg sudah jadi korban si ucup, semoga di beri kekuatan iman amin.."
positive,Kebenaran hanya milik Allah...Allah selalu menjaga agama ini dr fitnah dan ke zoliman makhluk Nya...semoga meberikan hidayah bagi semua umat...
negative,"Buat yusuf mansur bukan penipuan.
Tapi cara mudah cari uang agaknya hehe.."
negative,"Usut tuntas !! Kasihan korbanya, dia hidup mewah diatas penderitaan umatnya yg ditipu mentah"", hukum berat krn dia ulama yg hrs nya bersikap sebaliknya, ini malah lebih parah drpd rampok. Pesan untuk umat, jadilah pintar dan ber'AKAL SEHAT"
positive,Terimakasih atas tenggang rasa nya bagi teman2 non Islam 🙏 tetep semangat bagi para korban semoga Allah gantikan rezeki kalian lebih berkah lagi aamiin
positive,"Mau Ustad mau Pendeta mereka hanyalah oknumnya saja, jangan salahkan agamanya karna agama manapun tidak mengajarkan kebohongan kejahatan tapi kebaikan..
Salam toleransi saya Kristen 😇🙏dan saya mempunyai saudara muslim tpi kita saling menjaga menghormati.."
positive,"untuk mencapai tingkat ikhlas, kita harus sering berlatih sedekah."
positive,"Aku katolik, senang dengar kotbah beliau, kotbah nya selalu mengedepankan the power of sedekah, selalu ingin berbagi dan menolong orang klo dengar ceramah beliau, tdk ada kotbah yg berisi hinaan, cacian dan jelek2in umat agama lain, semoga masalah pak Ustad cepat selesai🙏"
positive,"Orang sukses, banyak yg iri, ini penyakit Indonesia. Masalah sedekah, jika tidak yakin dg ajaran Islam, jangan lakukan. Karena sedekah butuh ketulusan dan keikhlasan dan tidak berharap macam2. Jika sedekah dilakukan dg cara itu pasti akan Allah lunasi semua hajatnya"
positive,"Kita sebagai manusia biasa yg tdk luput dr dosa dan salah. 
Bersyukurlah kita kepada Allah yg maha kuasa yg masih selalu menjaga aib kita. 
Lihatlah betapa malunya kita ketika Tuhan membuka aib kita. 😭"
positive,"Walaupun teman-teman kita yg katholik dan kristen sangat berbaik hati, dengan komentar-komentar yang positif. Tapi saya sebagai seorang muslim tetap malu dengan kejadian ini. Semoga tidak ada kasus seperti ini lagi dari ustadz-ustadz yang lain. Berdakwahlah dan berbisnislah, tapi jangan jadikan dakwah sebagai ajang bisnis. Haram hukumnya mematok harga untuk berdakwah seperti ceramah, mengajar ngaji, dll. Harga itu di bolehkan dipatok untuk biaya transport, dan makan si pendakwah...misal seperti biaya pesawat, mobil, makan siang,dll...tapi bukan biaya dakwah. Sehingga biaya transport itu akan selalu batas wajar. Adapun biaya dakwah itu sendiri harus seikhlashnya, bahkan seandainya yg mengundang hanya ada untuk biaya transport saja jangan sampai ditolak. Jangan jadikan dakwah sebagai ajang bisnis!!!"
positive,"Untuk non muslim trimakasih perhatiannya, memang agama seharusnya begini saling mendukung dan saling memperhatikan, bukan saling menjelekan dan menjatuhkan 👍👍👍"
positive,"Apa yg ditanam itulah yg akan di tuai
Urusan konten diatas kita ada baiknya tabayun saja, pastinya kita serahkan dan percayakan kepada penegak hukum, untuk memberikan rasa keadilan yg sebaik baiknya kepada setiap warga negara Indonesia 🇮🇩"
positive,"beliau orang yg bernasip bagus...
harusnya lebih bersyukur atas semua nikmat Allah..
apalah artinya dakwah beliau selama ini..
semoga beliau sadar dan terima masukan saya..👍🙏💞🇲🇨"
positive,"Kasihan saudaraku yang berumat muslim, gara gara manusia satu ini yang berkedok ustz, nilai nilai sedekah dalam agama Islam jadi ternodai, miris 🤦🏻🤦🏻"
positive,"Semoga orang bisa berkata bener. Tapi gak semua orang bisa berbuat baik. Makanya di Qur'an, Allah ga nyuruh kita jadi org bener tp jadi orang baik dan berbuat kebajikan. Semoga kita berada di jalan yg bener dengan berbuat baik, jujur dan tidak menipu orang lain. Agar Indonesia bisa maju dalam akhlak."
positive,"Bersedekah itu lillahitaala, bukan untuk jadi kaya! Yang tertipu kan karena niatnya biar kaya seperti yang dia selalu janjikan, wajar ga sih tertipu niatnya juga salah, walaupun ya kasian karena mereka karena memang tidak tau jadi asal percaya aja. Semoga dengan kejadian ini kita bisa meluruskan niat sedekah"
positive,"Jangan pernah membenci agamanya... yang salah oknumnya .. Walau begitupun, mari kita doakan supaya kembali ke jalan yang benar dan memahami kekhilafannya..."
negative,"Sesungguhnya ustad yang baik atau ulama itu tidak mementingkan duniawi 
Masih banyak ulama² jujur di pelosok yang bahkan gaya hidup nya sangat sederhana"
negative,"Turut prihatin, terlalu menikmati kehidupan duniawi sehingga lupa akan tugas dan amanah yang dititipkan Tuhan. Makanya di agama yang saya peluk harus benar2 meninggal kan kehidupan duniawi. Dan menjadi seorang pemimpin umat adalah panggilan bukan pilihan. Terimakasih saudara NKRI🙏✌"
negative,salahkan orangnya jangan salahkan agamanya
positive,"Saya muslim, Sy percaya masih banyak ustadz yg memiliki perilaku terpuji."
negative,sayang sekali beliau di butakan oleh harta 😥
positive,"Sesungguhnya manusia itu di uji lewat kesulitan,kemewahan kecantikan,harta tahta kedudukan dan masih banyak lagi..tidak ada ujian yang melebihi kemampuan umatnya..semoga semua ada jalan keluar... 🙏🏻🙏🏻"
positive,"Aku semakin yakin rosulullah adalah manusia yg mulia, smoga kita semua terhindar dari kburukan. Dan sllu takut kpd Allah."
positive,"Semoga ustadz syekh Ali aljaber di tempatkan di sisi Allah yg mulia,
 semoga Uah dan UAS sehat selalu.amin.."
positive,"Ya begitu lah saudara, akal sehat dan hati nurani bakal kalah sama nafsu duniawi yg tak ad batasnya. Ya semoga aj kita ttp menjadi diri kita yg selalu bersyukur dengan keadaan dan ttp menjalankan kewajiban kita di dunia berdasarkan agama dan kitab kita masing² Aamiin🙂"
positive,"Alhamdulillah, Allah dengan segala kuasa nya membalas perbuatan anda pak yusuf mansur. Alhamdulillah 😊"
,"Son unos de los 
 LIKeex.UNo
mañas no se la"
positive,"Semoga beliau selalu dalam lindungan Allah SWT, diberikan HidayahNya, HikmahNya dan InayahNya,,,,Aamiin"
positive,"Pasti masih banyak ustadz yg baik di luar sana. Malah yg baik biasanya tidak banyak bicara. Benar benar bertindak sebagai seorang pemimpin agama. Salam toleransi. 🙏 ini buat pelajaran saja untuk teman teman muslim. Kita sama sama manusi jgn saling menghakimi. Kadang balok di mata sendiri kita sadari, saat kita mengatakan  ada sampah di mata oramg lain. 🙏🙏 Tuhan memberkati."
positive,"Ustadz pun kalo bersalah harus dihukum. Alloh mewajibkan manusia berbuat adil, dan bukan cuma untuk kalangan orang Islam saja, tapi meliputi seluruh manusia."
positive,Mudah2an menjadi pelajaran untuk ustadz Yusuf Mansur dan kita semua
positive,Kudoakan yg terbaik untuk muslimin dan muslimah seindonesia. Tetap semangat. Semoga semuanya baik-baik aja. Amin
negative,Sebenarnya dia cerdas luar biasa sih....sayang menyalahgunakan kepercayaan orang lain dan hasrat memeperkaya diri sangat besar
negative,"Dr awal hatiku sdh ragu sih, walauhualam. Semoga Allah kirimkan ustadz2 yang benar2 menjalankan Qur'an dan hadits"
negative,Orang yg suka berkedok agama mulai terbongkar..... Alhamdulillah yaa Allah.
negative,"Sedekah ya sedekah.. Investasi ya investasi.. Jangan di campur adukkan, sedekah niatnya karena Allah untuk bekal akhirat apapun itu pasti akan dibalas jika niat kita baik. Innamal a'malu binniah (setiap amal sesuai dengan niat). Itulah pentingnya mencari ilmu jangan hanya ke 1 orang, banyak ulama di indonesia yang pandai pandai dan ilmunya sangat luas, saring yang baik dan buang yang buruk, semoga kita semua selalu dalam bimbingan dan lindungan Allah."
negative,"Memang begini lah dunia merubah sikap, pikiran setiap manusia☺️"
positive,"Ya Allah , selamatkan para jamaah yang jadi korban 🤲🏼"
positive,ujian Allah s.w.t baginya...dikaburi nafsu melalui uang di dunia....makin tinggi ilmunya makin tinggi juga ujian nafsu serakahnya....nauzubillahiminzaliq....
positive,"Semua sudah dengan ijinNya, dan akan dilihat siapa yang paling lurus jalannya.
Masing masing menerima perhitunganNya.
Adakalanya niat baik tidak berjalan semestinya, tidak lain tidak bukan adalah untuk saling menguji dan saling diuji."
positive,"Setahu saya  ustad adalah seorg yg santun, bhsnya menyenangkan, tdk akan  pernah membuat org2 resah..."
negative,"Sebagai muslim terus terang sy jd merasa ikut malu dengan ulah beliau. 
Semoga Allah memberikan hidayah agar dia bertaubat dan kembali ke jalan yg lurus dan bagi korban semoga diberi kesabaran🤲🤲"
positive,"Ingat ya teman teman jangan salahkan agamanya,semua Agama pasti mengajarkan tentang kebaikan"
